;timestamp;laser_x;laser_y;motor_position;motor_velocity;motor_current,,,,,,,,,,
0;1.6689300537109375e-06;333.042;128.172;-19;0;17,,,,,,,,,,
1;1.0008652210235596;333.043;128.172;-19;0;6,,,,,,,,,,
2;2.0017592906951904;333.038;128.172;-19;0;40,,,,,,,,,,
3;3.0020482540130615;333.042;128.172;-19;0;17,,,,,,,,,,
4;4.00240159034729;333.043;128.172;-19;0;6,,,,,,,,,,
5;5.002653121948242;333.041;128.172;-19;0;6,,,,,,,,,,
6;6.0038580894470215;333.04;128.172;-19;0;17,,,,,,,,,,
7;7.004191637039185;333.042;128.172;-19;0;-4,,,,,,,,,,
8;8.004432678222656;333.043;128.172;-19;0;17,,,,,,,,,,
9;9.004769325256348;333.043;128.172;-19;0;40,,,,,,,,Laser y - Sunk,,Laser y - Initial
,,,,,,,,128.172,,121.257
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,delta,percentage,
,,,,,,,,6.915,0.794827586,
