;timestamp;laser_x;laser_y;motor_position;motor_velocity;motor_current
0;1.430511474609375e-06;317.31;80.55;-11;0;-4
1;1.0010647773742676;317.311;80.55;-11;0;6
2;2.0020017623901367;317.311;80.55;-11;0;6
3;3.0030062198638916;317.311;80.55;-11;0;-15
4;4.003463506698608;317.309;80.55;-11;0;6
5;5.003933668136597;317.311;80.55;-11;0;-4
6;6.004501104354858;317.311;80.55;-11;0;6
7;7.004918813705444;317.311;80.55;-11;0;17
8;8.006065368652344;317.312;80.55;-11;0;6
9;9.006319999694824;317.312;80.55;-11;0;6
