,timestamp,laser_x,laser_y,motor_position,motor_velocity,motor_current
0,1.6689300537109375e-06,318.811,121.257,-13,0,6
1,1.0003383159637451,318.811,121.258,-13,0,-4
2,2.0006186962127686,318.811,121.258,-13,0,17
3,3.0009841918945312,318.812,121.257,-13,0,6
4,4.001634359359741,318.814,121.258,-13,0,-4
5,5.002284288406372,318.814,121.257,-13,0,6
6,6.002703905105591,318.815,121.257,-13,0,6
7,7.003187417984009,318.814,121.257,-13,0,6
8,8.004068374633789,318.814,121.257,-13,0,17
9,9.004398822784424,318.814,121.257,-13,0,6
